City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
372,Daru,PG,85.15,overcast clouds,-9.0763,143.2092,Daru Lodge
373,Kavieng,PG,85.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
379,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
385,Cabo San Lucas,MX,78.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
386,Puerto Escondido,MX,78.06,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
387,Tabou,CI,78.35,scattered clouds,4.423,-7.3528,hotêl doufoulougou
388,Ipixuna,BR,76.95,broken clouds,-1.7625,-48.8043,Casa da Oscarina
399,Turan,VN,76.98,broken clouds,16.0678,108.2208,Sun River Hotel
407,Manoel Urbano,BR,76.05,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
411,Kahului,US,78.82,light rain,20.8947,-156.47,Maui Seaside Hotel
416,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
423,Port Blair,IN,83.79,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
424,Vao,NC,76.91,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
427,Davila,PH,87.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
442,Pemangkat,ID,84.16,overcast clouds,1.1667,108.9667,Ramah Kost KITA
445,Minbu,MM,77.54,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
449,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
453,Lahat,ID,78.1,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
456,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
460,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
465,Mumford,GH,79.3,light rain,5.2618,-0.759,Spanish Villa
473,Sola,VU,82.0,overcast clouds,-13.8833,167.55,Leumerus Bungalows
478,Kefamenanu,ID,87.48,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
482,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
483,La Romana,DO,76.73,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
487,Flinders,AU,76.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
489,Maningrida,AU,94.82,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
494,Nabire,ID,88.72,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
496,Matara,LK,79.61,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
497,Geraldton,AU,76.12,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
498,Yulara,AU,93.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
500,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
504,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
506,Harper,LR,78.49,broken clouds,4.375,-7.7169,Screensaver
508,Kalmunai,LK,80.74,overcast clouds,7.4167,81.8167,VS Villa
509,Caucaia,BR,84.07,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
520,Nobres,BR,75.83,overcast clouds,-14.7203,-56.3275,Hotel Portal Nobres
530,Bairnsdale,AU,83.46,clear sky,-37.8333,147.6167,Town Central Motel
532,Zhuhai,CN,75.9,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
542,Bubaque,GW,82.62,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
544,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
550,Canutama,BR,76.21,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
553,Isangel,VU,83.62,overcast clouds,-19.55,169.2667,Tanna Lodge
555,Mayumba,GA,76.5,overcast clouds,-3.432,10.6554,LIKWALE LODGE
561,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
563,Vanimo,PG,86.36,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
567,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
568,Cozumel,MX,75.94,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
570,Yanam,IN,77.4,overcast clouds,16.7333,82.2167,The Regency Hotel
579,Aquiraz,BR,84.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
585,Fare,PF,79.66,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
590,Porto Novo,BJ,80.42,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
592,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
593,Wajir,KE,75.31,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
594,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
596,Ulladulla,AU,83.77,scattered clouds,-35.35,150.4667,Sandpiper Motel
597,Gamba,GA,75.96,overcast clouds,-2.65,10.0,
599,Mount Barker,AU,89.37,few clouds,-35.0667,138.8667,A Suite Spot in the Hills
604,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
615,Barra Do Garcas,BR,77.58,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
616,Naravarikuppam,IN,82.89,overcast clouds,13.1956,80.1742,The Grand Blossoms Resort
617,Taitung,TW,77.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
618,Guiong,PH,84.02,broken clouds,6.4186,122.0258,"Mosque Buli Buli , Sumisip"
619,Cairns,AU,96.06,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
622,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
625,Buala,SB,85.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
628,Bitung,ID,77.85,light rain,1.4451,125.1824,K2 Lembeh
630,Teshie,GH,79.36,clear sky,5.5836,-0.1072,Adinkra Lodge
633,Mareeba,AU,91.33,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
635,Kalianget,ID,78.1,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
637,Iralaya,HN,77.67,overcast clouds,15.0,-83.2333,Iglesia morava renovada
647,Port Hedland,AU,95.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
650,Warri,NG,75.67,light rain,5.5167,5.75,BON Hotel Delta
652,Akyab,MM,77.4,scattered clouds,20.15,92.9,Hotel Memory
653,Puerto Madero,MX,79.14,clear sky,14.7208,-92.4215,Hospedaje madero
655,Grand Gaube,MU,80.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
664,Casa Nova,BR,75.18,light rain,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
668,Kandrian,PG,84.45,moderate rain,-6.2167,149.55,Kandrian Station
676,Bonthe,SL,79.43,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
677,Balaipungut,ID,84.61,overcast clouds,1.05,101.2833,
683,Wattegama,LK,77.92,overcast clouds,6.7989,81.4808,
686,Pyapon,MM,79.05,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
